Epoch	Training Loss	Validation Loss	Accuracy
1	0.046312	0.070531	0.981975
2	0.040506	0.041701	0.990967
3	0.035826	0.037309	0.991963
4	0.030969	0.035004	0.992324
5	0.033114	0.036007	0.992663
6	0.027496	0.034122	0.993023
7	0.023765	0.033938	0.993342
8	0.016843	0.036641	0.993299
9	0.017230	0.037525	0.993129
10	0.015865	0.037852	0.993278
